"id_user","count_she_he_usage","category","class","class2"
"33,422",5,top_5,top_5,outstanding
"33,424",2,top_15_20,ordinary,ordinary
"33,425",1,top_10_15,top_10_15,outstanding
"33,456",1,top_30_35,ordinary,ordinary
"33,478",3,top_5,top_5,outstanding
"33,517",1,top_15_20,ordinary,ordinary
"33,525",1,top_15_20,ordinary,ordinary
"33,534",1,top_5,top_5,outstanding
"33,565",1,top_5,top_5,outstanding
"33,570",1,top_25_30,ordinary,ordinary
"33,580",1,top_30_35,ordinary,ordinary
"33,583",5,top_5,top_5,outstanding
"33,598",2,top_20_25,ordinary,ordinary
"33,608",5,top_20_25,ordinary,ordinary
"33,614",7,top_5_10,top_5_10,outstanding
"33,617",1,top_5,top_5,outstanding
"33,687",1,top_25_30,ordinary,ordinary
"33,696",7,top_5,top_5,outstanding
"33,697",1,top_50_100,ordinary,ordinary
"33,699",1,top_25_30,ordinary,ordinary
"33,704",2,top_5_10,top_5_10,outstanding
"33,712",1,top_5_10,top_5_10,outstanding
"33,720",7,top_5,top_5,outstanding
"33,728",12,top_5,top_5,outstanding
"33,790",1,top_5,top_5,outstanding
"33,794",1,top_25_30,ordinary,ordinary
"33,820",1,top_5_10,top_5_10,outstanding
"33,834",2,top_5,top_5,outstanding
"33,871",1,top_10_15,top_10_15,outstanding
"33,872",1,top_5,top_5,outstanding
"33,908",1,top_25_30,ordinary,ordinary
"33,927",2,top_5,top_5,outstanding
"33,935",5,top_5,top_5,outstanding
"33,944",1,top_40_45,ordinary,ordinary
"33,967",2,top_30_35,ordinary,ordinary
"33,975",2,top_30_35,ordinary,ordinary
"33,996",3,top_5,top_5,outstanding
"34,085",5,top_5,top_5,outstanding
"34,107",2,top_30_35,ordinary,ordinary
"34,115",1,top_5_10,top_5_10,outstanding
"34,227",1,top_40_45,ordinary,ordinary
"34,252",3,top_5,top_5,outstanding
"34,254",1,top_50_100,ordinary,ordinary
"34,293",1,top_5,top_5,outstanding
"34,318",2,top_5,top_5,outstanding
"34,381",2,top_5,top_5,outstanding
"34,398",2,top_30_35,ordinary,ordinary
"34,428",1,top_20_25,ordinary,ordinary
"34,429",1,top_20_25,ordinary,ordinary
"34,445",1,top_5,top_5,outstanding
"34,465",24,top_5,top_5,outstanding
"34,475",1,top_5,top_5,outstanding
"34,480",2,top_10_15,top_10_15,outstanding
"34,504",1,top_50_100,ordinary,ordinary
"34,542",4,top_10_15,top_10_15,outstanding
"34,553",2,top_30_35,ordinary,ordinary
"34,569",2,top_5,top_5,outstanding
"34,579",7,top_5,top_5,outstanding
"34,592",1,top_50_100,ordinary,ordinary
"34,625",17,top_5,top_5,outstanding
"34,675",1,top_5,top_5,outstanding
"34,699",2,top_5_10,top_5_10,outstanding
"34,713",3,top_5,top_5,outstanding
"34,733",1,top_10_15,top_10_15,outstanding
"34,756",35,top_5,top_5,outstanding
"34,765",2,top_5_10,top_5_10,outstanding
"34,816",1,top_50_100,ordinary,ordinary
"34,828",1,top_15_20,ordinary,ordinary
"34,933",6,top_5,top_5,outstanding
"34,937",1,top_5_10,top_5_10,outstanding
"34,958",3,top_5,top_5,outstanding
"34,978",2,top_5_10,top_5_10,outstanding
"34,992",3,top_5,top_5,outstanding
"35,003",2,top_20_25,ordinary,ordinary
"35,022",1,top_5,top_5,outstanding
"35,067",5,top_40_45,ordinary,ordinary
"35,104",2,top_5,top_5,outstanding
"35,125",6,top_5_10,top_5_10,outstanding
"35,129",1,top_45_50,ordinary,ordinary
"35,193",2,top_5,top_5,outstanding
"35,214",1,top_10_15,top_10_15,outstanding
"35,280",1,top_5,top_5,outstanding
"35,287",2,top_40_45,ordinary,ordinary
"35,352",1,top_40_45,ordinary,ordinary
"35,357",2,top_10_15,top_10_15,outstanding
"35,391",14,top_5,top_5,outstanding
"35,416",2,top_5,top_5,outstanding
"35,417",2,top_5,top_5,outstanding
"35,463",2,top_5_10,top_5_10,outstanding
"35,483",1,top_5,top_5,outstanding
"35,512",5,top_5,top_5,outstanding
"35,552",4,top_5_10,top_5_10,outstanding
"35,571",1,top_15_20,ordinary,ordinary
"35,597",3,top_10_15,top_10_15,outstanding
"35,598",2,top_35_40,ordinary,ordinary
"35,613",3,top_40_45,ordinary,ordinary
"35,666",1,top_5,top_5,outstanding
"35,691",2,top_35_40,ordinary,ordinary
"35,695",1,top_5_10,top_5_10,outstanding
"35,701",11,top_50_100,ordinary,ordinary
"35,703",3,top_5_10,top_5_10,outstanding
"35,739",1,top_50_100,ordinary,ordinary
"35,775",2,top_50_100,ordinary,ordinary
"35,781",3,top_5,top_5,outstanding
"35,786",1,top_20_25,ordinary,ordinary
"35,827",2,top_25_30,ordinary,ordinary
"35,854",3,top_5,top_5,outstanding
"35,892",7,top_50_100,ordinary,ordinary
"35,901",2,top_5,top_5,outstanding
"35,976",1,top_5,top_5,outstanding
"35,981",1,top_5,top_5,outstanding
"35,998",1,top_5_10,top_5_10,outstanding
"36,018",5,top_5,top_5,outstanding
"36,027",1,top_5,top_5,outstanding
"36,060",15,top_5,top_5,outstanding
"36,088",2,top_5,top_5,outstanding
"36,106",1,top_5,top_5,outstanding
"36,149",9,top_5,top_5,outstanding
"36,160",2,top_5_10,top_5_10,outstanding
"36,176",3,top_15_20,ordinary,ordinary
"36,220",2,top_5,top_5,outstanding
"36,238",1,top_35_40,ordinary,ordinary
"36,256",1,top_35_40,ordinary,ordinary
"36,260",12,top_5,top_5,outstanding
"36,273",10,top_5,top_5,outstanding
"36,277",1,top_50_100,ordinary,ordinary
"36,298",1,top_5,top_5,outstanding
"36,325",4,top_5,top_5,outstanding
"36,356",1,top_30_35,ordinary,ordinary
"36,378",1,top_30_35,ordinary,ordinary
"36,383",1,top_30_35,ordinary,ordinary
"36,426",2,top_50_100,ordinary,ordinary
"36,431",1,top_35_40,ordinary,ordinary
"36,467",1,top_15_20,ordinary,ordinary
"36,541",1,top_5,top_5,outstanding
"36,585",1,top_45_50,ordinary,ordinary
"36,614",25,top_5,top_5,outstanding
"36,628",1,top_20_25,ordinary,ordinary
"36,633",1,top_5_10,top_5_10,outstanding
"36,645",1,top_35_40,ordinary,ordinary
"36,679",1,top_50_100,ordinary,ordinary
"36,687",3,top_5,top_5,outstanding
"36,702",1,top_35_40,ordinary,ordinary
"36,711",1,top_5,top_5,outstanding
"36,722",1,top_50_100,ordinary,ordinary
"36,724",18,top_5,top_5,outstanding
"36,740",3,top_5,top_5,outstanding
"36,750",1,top_5,top_5,outstanding
"36,776",3,top_35_40,ordinary,ordinary
"36,823",9,top_30_35,ordinary,ordinary
"36,860",1,top_10_15,top_10_15,outstanding
"36,876",1,top_15_20,ordinary,ordinary
"36,877",1,top_50_100,ordinary,ordinary
"36,908",1,top_50_100,ordinary,ordinary
"37,052",1,top_10_15,top_10_15,outstanding
"37,076",1,top_45_50,ordinary,ordinary
"37,114",8,top_5,top_5,outstanding
"37,158",1,top_15_20,ordinary,ordinary
"37,163",59,top_5,top_5,outstanding
"37,165",1,top_5,top_5,outstanding
"37,216",1,top_45_50,ordinary,ordinary
"37,231",1,top_30_35,ordinary,ordinary
"37,240",2,top_5,top_5,outstanding
"37,284",7,top_5,top_5,outstanding
"37,309",1,top_5_10,top_5_10,outstanding
"37,327",2,top_10_15,top_10_15,outstanding
"37,362",1,top_5_10,top_5_10,outstanding
"37,387",1,top_10_15,top_10_15,outstanding
"37,392",1,top_40_45,ordinary,ordinary
"37,412",13,top_50_100,ordinary,ordinary
"37,448",2,top_15_20,ordinary,ordinary
"37,474",1,top_5_10,top_5_10,outstanding
"37,517",2,top_5,top_5,outstanding
"37,520",1,top_50_100,ordinary,ordinary
"37,531",1,top_5_10,top_5_10,outstanding
"37,546",5,top_5_10,top_5_10,outstanding
"37,562",1,top_15_20,ordinary,ordinary
"37,584",2,top_5,top_5,outstanding
"37,589",1,top_20_25,ordinary,ordinary
"37,596",2,top_5_10,top_5_10,outstanding
"37,646",1,top_5_10,top_5_10,outstanding
"37,648",14,top_5,top_5,outstanding
"37,654",4,top_5_10,top_5_10,outstanding
"37,688",1,top_5,top_5,outstanding
"37,782",4,top_50_100,ordinary,ordinary
"37,789",1,top_5_10,top_5_10,outstanding
"37,811",32,top_5,top_5,outstanding
"37,832",3,top_10_15,top_10_15,outstanding
"37,833",1,top_25_30,ordinary,ordinary
"37,844",7,top_5,top_5,outstanding
"37,856",1,top_5,top_5,outstanding
"37,933",1,top_50_100,ordinary,ordinary
"37,949",8,top_15_20,ordinary,ordinary
"37,962",1,top_20_25,ordinary,ordinary
"37,968",5,top_50_100,ordinary,ordinary
"37,991",4,top_5,top_5,outstanding
"37,998",2,top_5,top_5,outstanding
"38,001",11,top_10_15,top_10_15,outstanding
"38,029",1,top_35_40,ordinary,ordinary
"38,069",3,top_5,top_5,outstanding
"38,074",3,top_10_15,top_10_15,outstanding
"38,085",24,top_5,top_5,outstanding
"38,118",14,top_5,top_5,outstanding
"38,128",2,top_45_50,ordinary,ordinary
"38,136",2,top_15_20,ordinary,ordinary
"38,154",1,top_50_100,ordinary,ordinary
"38,163",1,top_30_35,ordinary,ordinary
"38,200",4,top_40_45,ordinary,ordinary
"38,242",1,top_45_50,ordinary,ordinary
"38,261",2,top_15_20,ordinary,ordinary
"38,321",2,top_5_10,top_5_10,outstanding
"38,337",2,top_30_35,ordinary,ordinary
"38,341",1,top_50_100,ordinary,ordinary
"38,343",1,top_40_45,ordinary,ordinary
"38,398",15,top_5,top_5,outstanding
"38,438",1,top_5,top_5,outstanding
"38,481",1,top_50_100,ordinary,ordinary
"38,580",1,top_35_40,ordinary,ordinary
"38,587",1,top_5_10,top_5_10,outstanding
"38,643",1,top_50_100,ordinary,ordinary
"38,649",7,top_5,top_5,outstanding
"38,670",1,top_50_100,ordinary,ordinary
"38,678",3,top_5,top_5,outstanding
"38,681",3,top_5,top_5,outstanding
"38,693",1,top_20_25,ordinary,ordinary
"38,756",3,top_5,top_5,outstanding
"38,769",9,top_5,top_5,outstanding
"38,807",3,top_15_20,ordinary,ordinary
"38,973",15,top_5,top_5,outstanding
"39,007",2,top_25_30,ordinary,ordinary
"39,030",1,top_30_35,ordinary,ordinary
"39,036",1,top_50_100,ordinary,ordinary
"39,119",1,top_50_100,ordinary,ordinary
"39,154",2,top_50_100,ordinary,ordinary
"39,163",3,top_5_10,top_5_10,outstanding
"39,174",6,top_5_10,top_5_10,outstanding
"39,179",4,top_5_10,top_5_10,outstanding
"39,189",2,top_45_50,ordinary,ordinary
"39,221",4,top_20_25,ordinary,ordinary
"39,232",1,top_50_100,ordinary,ordinary
"39,247",1,top_15_20,ordinary,ordinary
"39,274",7,top_5_10,top_5_10,outstanding
"39,283",1,top_50_100,ordinary,ordinary
"39,316",1,top_10_15,top_10_15,outstanding
"39,366",5,top_5,top_5,outstanding
"39,370",2,top_20_25,ordinary,ordinary
"39,382",1,top_35_40,ordinary,ordinary
"39,384",6,top_15_20,ordinary,ordinary
"39,440",64,top_5,top_5,outstanding
"39,441",4,top_5,top_5,outstanding
"39,495",7,top_50_100,ordinary,ordinary
"39,504",2,top_5_10,top_5_10,outstanding
"39,512",1,top_5,top_5,outstanding
"39,554",4,top_50_100,ordinary,ordinary
"39,587",1,top_50_100,ordinary,ordinary
"39,672",1,top_50_100,ordinary,ordinary
"39,742",2,top_35_40,ordinary,ordinary
"39,750",2,top_20_25,ordinary,ordinary
"39,756",2,top_15_20,ordinary,ordinary
"39,772",1,top_35_40,ordinary,ordinary
"39,791",1,top_30_35,ordinary,ordinary
"39,793",1,top_30_35,ordinary,ordinary
"39,831",4,top_20_25,ordinary,ordinary
"39,849",1,top_5,top_5,outstanding
"39,892",1,top_50_100,ordinary,ordinary
"39,907",1,top_30_35,ordinary,ordinary
"39,928",1,top_25_30,ordinary,ordinary
"39,931",6,top_20_25,ordinary,ordinary
"39,953",2,top_5,top_5,outstanding
"39,981",4,top_50_100,ordinary,ordinary
"40,055",2,top_35_40,ordinary,ordinary
"40,101",1,top_45_50,ordinary,ordinary
"40,102",1,top_10_15,top_10_15,outstanding
"40,103",1,top_35_40,ordinary,ordinary
"40,146",2,top_30_35,ordinary,ordinary
"40,152",5,top_5_10,top_5_10,outstanding
"40,157",1,top_5_10,top_5_10,outstanding
"40,161",1,top_50_100,ordinary,ordinary
"40,201",2,top_5_10,top_5_10,outstanding
"40,239",16,top_5,top_5,outstanding
"40,282",1,top_5,top_5,outstanding
"40,299",11,top_5,top_5,outstanding
"40,347",1,top_5,top_5,outstanding
"40,369",2,top_5,top_5,outstanding
"40,386",1,top_50_100,ordinary,ordinary
"40,398",2,top_50_100,ordinary,ordinary
"40,400",1,top_20_25,ordinary,ordinary
"40,428",2,top_20_25,ordinary,ordinary
"40,490",1,top_20_25,ordinary,ordinary
"40,511",1,top_50_100,ordinary,ordinary
"40,524",1,top_10_15,top_10_15,outstanding
"40,552",5,top_10_15,top_10_15,outstanding
"40,570",1,top_30_35,ordinary,ordinary
"40,590",7,top_50_100,ordinary,ordinary
"40,602",1,top_50_100,ordinary,ordinary
"40,604",1,top_5,top_5,outstanding
"40,612",2,top_50_100,ordinary,ordinary
"40,622",2,top_15_20,ordinary,ordinary
"40,637",1,top_5,top_5,outstanding
"40,650",1,top_5_10,top_5_10,outstanding
"40,659",1,top_30_35,ordinary,ordinary
"40,672",4,top_30_35,ordinary,ordinary
"40,701",5,top_10_15,top_10_15,outstanding
"40,702",1,top_5,top_5,outstanding
"40,719",1,top_5_10,top_5_10,outstanding
"40,729",4,top_5,top_5,outstanding
"40,768",1,top_50_100,ordinary,ordinary
"40,783",1,top_25_30,ordinary,ordinary
"40,859",4,top_50_100,ordinary,ordinary
"40,927",1,top_50_100,ordinary,ordinary
"40,942",1,top_20_25,ordinary,ordinary
"41,001",2,top_40_45,ordinary,ordinary
"41,010",1,top_10_15,top_10_15,outstanding
"41,015",1,top_10_15,top_10_15,outstanding
"41,031",1,top_50_100,ordinary,ordinary
"41,041",2,top_50_100,ordinary,ordinary
"41,045",3,top_35_40,ordinary,ordinary
"41,102",1,top_5_10,top_5_10,outstanding
"41,279",1,top_5,top_5,outstanding
"41,358",4,top_10_15,top_10_15,outstanding
"41,359",1,top_45_50,ordinary,ordinary
"41,383",2,top_50_100,ordinary,ordinary
"41,407",6,top_40_45,ordinary,ordinary
"41,441",4,top_15_20,ordinary,ordinary
"41,458",1,top_10_15,top_10_15,outstanding
"41,515",3,top_45_50,ordinary,ordinary
"41,537",1,top_10_15,top_10_15,outstanding
"41,602",2,top_10_15,top_10_15,outstanding
"41,719",2,top_50_100,ordinary,ordinary
"41,742",3,top_15_20,ordinary,ordinary
"41,749",1,top_5_10,top_5_10,outstanding
"41,847",1,top_15_20,ordinary,ordinary
"41,866",1,top_50_100,ordinary,ordinary
"41,874",1,top_5,top_5,outstanding
"41,875",2,top_30_35,ordinary,ordinary
"41,894",1,top_5,top_5,outstanding
"41,896",1,top_15_20,ordinary,ordinary
"41,941",8,top_5_10,top_5_10,outstanding
"41,947",1,top_50_100,ordinary,ordinary
"41,949",1,top_50_100,ordinary,ordinary
"42,010",1,top_10_15,top_10_15,outstanding
"42,028",1,top_15_20,ordinary,ordinary
"42,047",1,top_50_100,ordinary,ordinary
"42,055",1,top_5,top_5,outstanding
"42,065",4,top_5_10,top_5_10,outstanding
"42,161",1,top_50_100,ordinary,ordinary
"42,185",15,top_5,top_5,outstanding
"42,222",6,top_15_20,ordinary,ordinary
"42,234",3,top_45_50,ordinary,ordinary
"42,323",1,top_10_15,top_10_15,outstanding
"42,378",3,top_5,top_5,outstanding
"42,388",1,top_50_100,ordinary,ordinary
"42,410",1,top_5_10,top_5_10,outstanding
"42,413",1,top_50_100,ordinary,ordinary
"42,416",1,top_5,top_5,outstanding
"42,427",1,top_15_20,ordinary,ordinary
"42,438",6,top_5,top_5,outstanding
"42,469",1,top_50_100,ordinary,ordinary
"42,488",1,top_35_40,ordinary,ordinary
"42,517",1,top_50_100,ordinary,ordinary
"42,579",1,top_5_10,top_5_10,outstanding
"42,602",1,top_50_100,ordinary,ordinary
"42,624",2,top_50_100,ordinary,ordinary
"42,627",1,top_50_100,ordinary,ordinary
"42,657",1,top_50_100,ordinary,ordinary
"42,677",1,top_15_20,ordinary,ordinary
"42,741",2,top_50_100,ordinary,ordinary
"42,791",2,top_5_10,top_5_10,outstanding
"42,798",1,top_50_100,ordinary,ordinary
"42,839",2,top_50_100,ordinary,ordinary
"42,864",1,top_50_100,ordinary,ordinary
"42,915",1,top_50_100,ordinary,ordinary
"43,055",1,top_20_25,ordinary,ordinary
"43,278",1,top_25_30,ordinary,ordinary
"43,309",2,top_5,top_5,outstanding
"43,326",1,top_30_35,ordinary,ordinary
"43,327",2,top_20_25,ordinary,ordinary
"43,333",1,top_50_100,ordinary,ordinary
"43,364",1,top_45_50,ordinary,ordinary
"43,366",1,top_50_100,ordinary,ordinary
"43,438",1,top_5_10,top_5_10,outstanding
"43,532",2,top_5,top_5,outstanding
"43,563",1,top_45_50,ordinary,ordinary
"43,649",1,top_50_100,ordinary,ordinary
"43,651",1,top_50_100,ordinary,ordinary
"43,678",2,top_10_15,top_10_15,outstanding
"43,693",1,top_10_15,top_10_15,outstanding
"43,701",2,top_35_40,ordinary,ordinary
"43,702",11,top_5,top_5,outstanding
"43,706",1,top_50_100,ordinary,ordinary
"43,778",1,top_20_25,ordinary,ordinary
"43,779",1,top_25_30,ordinary,ordinary
"43,801",2,top_45_50,ordinary,ordinary
"43,811",6,top_5,top_5,outstanding
"43,915",2,top_50_100,ordinary,ordinary
"43,934",3,top_5,top_5,outstanding
"43,947",1,top_40_45,ordinary,ordinary
"43,968",1,top_50_100,ordinary,ordinary
"43,991",1,top_50_100,ordinary,ordinary
"43,998",1,top_5_10,top_5_10,outstanding
"44,030",1,top_35_40,ordinary,ordinary
"44,035",8,top_5,top_5,outstanding
"44,080",6,top_15_20,ordinary,ordinary
"44,113",3,top_50_100,ordinary,ordinary
"44,147",1,top_45_50,ordinary,ordinary
"44,155",1,top_15_20,ordinary,ordinary
"44,263",1,top_5_10,top_5_10,outstanding
"44,264",2,top_5,top_5,outstanding
"44,280",1,top_50_100,ordinary,ordinary
"44,354",1,top_20_25,ordinary,ordinary
"44,407",1,top_50_100,ordinary,ordinary
"44,430",3,top_5_10,top_5_10,outstanding
"44,455",8,top_5_10,top_5_10,outstanding
"44,513",1,top_5,top_5,outstanding
"44,529",1,top_40_45,ordinary,ordinary
"44,564",1,top_5_10,top_5_10,outstanding
"44,582",1,top_30_35,ordinary,ordinary
"44,637",2,top_50_100,ordinary,ordinary
"44,650",7,top_5,top_5,outstanding
"44,685",1,top_5_10,top_5_10,outstanding
"44,690",1,top_5_10,top_5_10,outstanding
"44,728",1,top_5,top_5,outstanding
"44,774",2,top_5,top_5,outstanding
"44,793",1,top_35_40,ordinary,ordinary
"44,823",2,top_20_25,ordinary,ordinary
"44,841",1,top_5,top_5,outstanding
"44,843",4,top_5_10,top_5_10,outstanding
"44,854",1,top_45_50,ordinary,ordinary
"44,889",2,top_15_20,ordinary,ordinary
"44,950",5,top_5,top_5,outstanding
"45,042",3,top_25_30,ordinary,ordinary
"45,059",3,top_50_100,ordinary,ordinary
"45,073",1,top_5_10,top_5_10,outstanding
"45,084",3,top_5,top_5,outstanding
"45,100",1,top_50_100,ordinary,ordinary
"45,220",1,top_25_30,ordinary,ordinary
"45,307",54,top_5,top_5,outstanding
"45,397",1,top_45_50,ordinary,ordinary
"45,436",2,top_50_100,ordinary,ordinary
"45,446",2,top_50_100,ordinary,ordinary
"45,519",1,top_50_100,ordinary,ordinary
"45,522",2,top_5,top_5,outstanding
"45,534",1,top_5,top_5,outstanding
"45,543",2,top_50_100,ordinary,ordinary
"45,548",6,top_5,top_5,outstanding
"45,597",1,top_15_20,ordinary,ordinary
"45,622",1,top_50_100,ordinary,ordinary
"45,693",3,top_50_100,ordinary,ordinary
"45,719",1,top_50_100,ordinary,ordinary
"45,764",1,top_5_10,top_5_10,outstanding
"45,784",1,top_50_100,ordinary,ordinary
"45,816",1,top_50_100,ordinary,ordinary
"45,856",1,top_5,top_5,outstanding
"45,863",2,top_30_35,ordinary,ordinary
"45,883",1,top_50_100,ordinary,ordinary
"45,903",1,top_50_100,ordinary,ordinary
"45,916",1,top_50_100,ordinary,ordinary
"45,934",1,top_10_15,top_10_15,outstanding
"46,011",3,top_15_20,ordinary,ordinary
"46,019",1,top_50_100,ordinary,ordinary
"46,087",1,top_50_100,ordinary,ordinary
"46,107",9,top_5,top_5,outstanding
"46,119",1,top_5,top_5,outstanding
"46,132",1,top_25_30,ordinary,ordinary
"46,148",3,top_50_100,ordinary,ordinary
"46,161",1,top_5_10,top_5_10,outstanding
"46,240",6,top_5,top_5,outstanding
"46,261",1,top_50_100,ordinary,ordinary
"46,287",3,top_5,top_5,outstanding
"46,333",2,top_50_100,ordinary,ordinary
"46,334",1,top_50_100,ordinary,ordinary
"46,346",1,top_50_100,ordinary,ordinary
"46,351",1,top_5,top_5,outstanding
"46,383",1,top_50_100,ordinary,ordinary
"46,410",1,top_5,top_5,outstanding
"46,434",2,top_15_20,ordinary,ordinary
"46,518",1,top_10_15,top_10_15,outstanding
"46,617",1,top_10_15,top_10_15,outstanding
"46,629",1,top_45_50,ordinary,ordinary
"46,670",1,top_50_100,ordinary,ordinary
"46,699",3,top_35_40,ordinary,ordinary
"46,937",9,top_5,top_5,outstanding
"47,093",2,top_50_100,ordinary,ordinary
